Hdr Vector Lot,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,HDR_nanodrop (ng/ul),HDR_A260/A280,HDR_A260/A230,Qubit(ng/ul),HDR_actual_DNA,gRNA_nanodrop (ng/ul),gRNA_A260/A280,gRNA_A260/A230,gRNA_Qubit (ng/ul),gRNA_actual_DNA,Per_Million_TotalDNA,Average_mapped_reads,Average_TransfectionEfficency_GFP,Average_Cell_Count,Average_Total_Cells,%_Surviving_Cells,Estimated_Edited_Cells,%_Successful_Edited_Cells
CNJV_hdr556,1,0.143,11578572,9561580,0.2,11.8,32.3,55.7,96.6,3275,1626,0,5045.4,1.981,2.625,835,2.48245927,880.15,1.889,2.197,525,4.473669261,0.347806427,45.1,55.25,4291666.667,34333333.33,171.6666667,15484333.33,77.42166667
CNJV_hdr556,1,0.145,11192236,9011643,0.2,11.2,35.2,53.4,94.5,2957,1626,0,5045.4,1.981,2.625,835,2.48245927,880.15,1.889,2.197,525,4.473669261,0.347806427,45.1,55.25,4291666.667,34333333.33,171.6666667,15484333.33,77.42166667
ELWX_hdr503,1,0.236,36548519,32816662,0.2,8.5,40.5,50.9,97.3,9904,1686,0,1124.9,1.976,2.663,280,3.733665215,575.75,1.874,2.148,396,5.158488927,0.444607707,40.83333333,50.75,4846666.667,38773333.33,193.8666667,15832444.44,79.16222222
ELWX_hdr503,1,0.237,37187830,30065453,0.2,8,43.3,48.5,96.4,8652,1686,0,1124.9,1.976,2.663,280,3.733665215,575.75,1.874,2.148,396,5.158488927,0.444607707,40.83333333,50.75,4846666.667,38773333.33,193.8666667,15832444.44,79.16222222
FBSZ_hdr518,1,0.254,16332983,14061124,0.1,6.2,37.7,56,96.5,7460,1055,0,891.3,1.933,2.448,704,11.84786267,889.85,1.907,2.298,765,6.447715907,0.914778929,44.9,56.7,2790000,22320000,111.6,10021680,50.1084
FBSZ_hdr518,1,0.255,16167802,13568073,0.1,6.2,37.6,56.1,98.4,7211,1055,0,891.3,1.933,2.448,704,11.84786267,889.85,1.907,2.298,765,6.447715907,0.914778929,44.9,56.7,2790000,22320000,111.6,10021680,50.1084
FBSZ_hdr518,1,0.258,16578957,13210504,0.1,5.9,39.9,54.1,98,6770,1055,0,891.3,1.933,2.448,704,11.84786267,889.85,1.907,2.298,765,6.447715907,0.914778929,44.9,56.7,2790000,22320000,111.6,10021680,50.1084
FBSZ_hdr518,1,0.26,16500518,12661244,0.1,5.9,40,54,99,6478,1055,0,891.3,1.933,2.448,704,11.84786267,889.85,1.907,2.298,765,6.447715907,0.914778929,44.9,56.7,2790000,22320000,111.6,10021680,50.1084
HDOI_hdr520,0,0.134,14728385,11173361,0.1,6.8,35.8,57.3,99.1,5212,1229,0,1312.8,2.006,2.614,402,4.593235832,953.05,1.921,2.298,555,4.367556791,0.448039631,34.5,55.35,3495000,27960000,139.8,9646200,48.231
HDOI_hdr520,0,0.134,14417220,11382566,0.1,6.9,35,58.1,98,5376,1229,0,1312.8,2.006,2.614,402,4.593235832,953.05,1.921,2.298,555,4.367556791,0.448039631,34.5,55.35,3495000,27960000,139.8,9646200,48.231
HDOI_hdr520,0,0.134,17098071,14599023,0.1,7,33.9,59.1,97.5,7022,1229,0,1312.8,2.006,2.614,402,4.593235832,953.05,1.921,2.298,555,4.367556791,0.448039631,34.5,55.35,3495000,27960000,139.8,9646200,48.231
HDOI_hdr520,0,0.136,17760832,14780396,0.1,6.9,34,59,98.8,7096,1229,0,1312.8,2.006,2.614,402,4.593235832,953.05,1.921,2.298,555,4.367556791,0.448039631,34.5,55.35,3495000,27960000,139.8,9646200,48.231
HUKW_hdr011,0,0.134,34451026,28987777,0.4,12.6,35.6,51.4,98.4,7641,1949,0,1049.9,2.004,2.706,202,2.885989142,699.9,1.899,2.186,493,5.282897557,0.408444335,31.5,74.5,4455000,35640000,178.2,11226600,56.133
IHMH_hdr521,0,0.279,15469639,13237394,0.1,9.8,32.3,57.8,96,4877,1568,0.1,1015.1,1.976,2.589,344,5.08324303,713.1,1.905,2.053,645,6.783761043,0.593350204,23.4,56.05,4368333.333,34946666.67,174.7333333,8177520,40.8876
IHMH_hdr521,0,0.281,16044307,13479605,0.1,9.9,31.9,58.1,97.9,4998,1568,0.1,1015.1,1.976,2.589,344,5.08324303,713.1,1.905,2.053,645,6.783761043,0.593350204,23.4,56.05,4368333.333,34946666.67,174.7333333,8177520,40.8876
IHMH_hdr521,0,0.283,12934358,10861010,0.1,9.6,33.2,57.2,95.3,3961,1568,0.1,1015.1,1.976,2.589,344,5.08324303,713.1,1.905,2.053,645,6.783761043,0.593350204,23.4,56.05,4368333.333,34946666.67,174.7333333,8177520,40.8876
IHMH_hdr521,0,0.285,12628190,10291483,0.1,9.7,32.4,57.8,97.6,3793,1568,0.1,1015.1,1.976,2.589,344,5.08324303,713.1,1.905,2.053,645,6.783761043,0.593350204,23.4,56.05,4368333.333,34946666.67,174.7333333,8177520,40.8876
MXXP_hdr439,1,0.336,21351760,17853176,0.3,9.6,37.7,52.4,95.5,6316,1480,0,3867.3,1.989,2.678,316,1.225661314,947.5,1.915,2.215,540,4.274406332,0.275003382,47.6,54.1,1973333.333,15786666.67,78.93333333,7514453.333,37.57226667
MXXP_hdr439,1,0.334,49205414,42115989,0.3,9.9,35.6,54.3,98.4,15445,1480,0,3867.3,1.989,2.678,316,1.225661314,947.5,1.915,2.215,540,4.274406332,0.275003382,47.6,54.1,1973333.333,15786666.67,78.93333333,7514453.333,37.57226667
MXXP_hdr482,1,0.34,35880043,29386147,0.3,9.8,35.5,54.3,97.7,10787,1480,0,3867.3,1.989,2.678,316,1.225661314,947.5,1.915,2.215,540,4.274406332,0.275003382,47.6,54.1,1973333.333,15786666.67,78.93333333,7514453.333,37.57226667
MXXP_hdr482,1,0.342,36895695,33193716,0.3,10.3,33.3,56.1,98.8,12594,1480,0,3867.3,1.989,2.678,316,1.225661314,947.5,1.915,2.215,540,4.274406332,0.275003382,47.6,54.1,1973333.333,15786666.67,78.93333333,7514453.333,37.57226667
NBXL_hdr467,0,0.169,10626725,8503409,0.1,1.8,25.3,72.8,98.8,4752,1303,0,2694,2.004,2.658,324,1.804008909,909.3,1.922,2.298,625,5.155064335,0.347953662,33.9,52.75,4230000,33840000,169.2,11471760,57.3588
NQBU_hdr469,0,0.153,13003865,10461769,0,5.1,23.9,71,98.8,4541,1635,0,2985.1,1.984,2.651,366,1.839134367,1003.8,1.92,2.305,610,4.557680813,0.319840759,33,53.95,7246666.667,57973333.33,289.8666667,19131200,95.656
NUIB_hdr470,0,0.195,14832316,12021369,0.1,1.9,31.9,66.1,98.6,5137,1546,0,1362.4,1.94,2.258,173,1.904726952,977.45,1.93,2.311,730,5.60130953,0.375301824,39.46666667,45.8,4403333.333,35226666.67,176.1333333,13902791.11,69.51395556
OYPK_hdr017,0,0.277,25695402,21870760,0.4,10.5,29.9,59.2,98.5,8899,1455,0,1132.2,2.005,2.685,365,4.835718071,886.1,1.904,2.291,530,4.485949667,0.466083387,39.26666667,64.8,3775000,30200000,151,11858533.33,59.29266667
QPAT_hdr418,0,0.218,30383898,24823726,0,7.5,47,45.5,88.5,9447,1195,0.1,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
QPAT_hdr418,0,0.211,26462979,21243620,0,7.7,43.3,48.9,94,8696,1195,0.1,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
QPAT_hdr418,0,0.203,11585163,8541933,0,8.8,36.4,54.7,96.5,3911,1195,0.2,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
QPAT_hdr530,0,0.188,16861602,11599379,0.1,8.6,36.2,55.1,98.3,5347,1195,0.1,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
QPAT_hdr530,0,0.188,15944591,11520689,0.1,8.6,36,55.3,96.5,5327,1195,0.1,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
QPAT_hdr530,0,0.194,15060904,11348995,0.1,8.2,38.3,53.4,97.5,5071,1195,0.1,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
QPAT_hdr530,0,0.197,16387091,11877923,0.1,8,40,51.9,98.7,5163,1195,0.1,2409.6,1.956,2.602,222,1.381972112,1071.8,1.921,2.211,615,4.303508117,0.284274011,27.93333333,57.8,3720000,29760000,148.8,8312959.999,41.5648
XEDQ_hdr481,0,0.218,33841398,28622423,0,7.4,27.5,65.1,99.3,12871,1447,0,3988.3,2.026,2.752,118,0.443798109,1788.4,1.879,2.298,660,2.767837173,0.160581764,4.8,43.65,3133333.333,25066666.67,125.3333333,1203200,6.016
XEDQ_hdr481,0,0.219,33353772,30162963,0,7.9,23.6,68.5,99.6,14275,1447,0,3988.3,2.026,2.752,118,0.443798109,1788.4,1.879,2.298,660,2.767837173,0.160581764,4.8,43.65,3133333.333,25066666.67,125.3333333,1203200,6.016
YMXP_hdr426,0,0.377,30645689,27070559,1.8,4.5,67,26.7,77.2,5080,1422,0,2634.6,1.92,2.31,680,3.871555454,1106.9,1.92,2.224,815,5.522179059,0.469686726,33.26666667,64.35,5330000,42640000,213.2,14184906.67,70.92453334
YMXP_hdr426,0,0.372,24726638,21501895,3.4,8.3,36.6,51.7,92.9,7811,1422,0,2634.6,1.92,2.31,680,3.871555454,1106.9,1.92,2.224,815,5.522179059,0.469686726,33.26666667,64.35,5330000,42640000,213.2,14184906.67,70.92453334
ZZNI_hdr406,1,0.349,35280033,28107261,0.5,11.6,51,36.9,77.6,5081,2040,0,352.3,1.872,2.265,152,6.471757025,1490.6,1.982,2.342,550,2.76734201,0.461954952,40.73333333,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
ZZNI_hdr406,1,0.35,30079133,23564878,0.5,11.6,50.8,37,77.2,4273,2040,0,352.3,1.872,2.265,152,6.471757025,1490.6,1.982,2.342,550,2.76734201,0.461954952,40.73333333,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
ZZNI_hdr406,1,0.344,23335488,18048125,0.6,12.2,48.4,38.8,77.8,3435,2040,0,352.3,1.872,2.265,152,6.471757025,1490.6,1.982,2.342,550,2.76734201,0.461954952,40.73333333,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
ZZNI_hdr406,1,0.189,31622530,24512665,0,6.2,28.1,65.7,82.3,7889,2040,0,352.3,1.872,2.265,152,6.471757025,1490.6,1.982,2.342,550,2.76734201,0.461954952,40.73333333,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
ZZNI_hdr406,1,0.401,36689772,29599030,0.4,14.5,52.5,32.5,77.5,4719,2040,0,352.3,1.872,2.265,152,6.471757025,1490.6,1.982,2.342,550,2.76734201,0.461954952,40.73333333,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
ZZNI_hdr406,1,0.345,12751121,8960096,0.9,19.2,19.8,60.1,96.8,2639,2040,0,352.3,1.872,2.265,152,6.471757025,1490.6,1.982,2.342,550,2.76734201,0.461954952,40.73333333,85.65,5911666.667,47293333.33,236.4666667,19264151.11,96.32075555
